borough,location_i,objectid,shape_area,shape_leng,zone,longitude,latitude
Queens,139.0,139.0,0.000446669880154,0.0932997884483,Laurelton,-73.74374868249994,40.67786543249993
Queens,131.0,131.0,0.000423696152789,0.116547120922,Jamaica Estates,-73.77298537549987,40.72045217399988
Queens,132.0,132.0,0.00203830095472,0.24547851707,JFK Airport,-73.7896225684852,40.64270355737841
Brooklyn,133.0,133.0,0.000157188987507,0.065134863162,Kensington,-73.97819427599988,40.63940094899989
Manhattan,140.0,140.0,0.000114203907779,0.0475842911325,Lenox Hill East,-73.95472774589084,40.765305162962136
Queens,135.0,135.0,0.000467912240542,0.121793045659,Kew Gardens Hills,-73.8208170044999,40.72952795749991
Bronx,136.0,136.0,0.000148524994129,0.0906287154122,Kingsbridge Heights,-73.90539442299959,40.86536498299988
Manhattan,137.0,137.0,0.000116455098947,0.0461076242707,Kips Bay,-73.97717209350198,40.7403357497753
Manhattan,141.0,141.0,7.66545579019e-05,0.0415144638712,Lenox Hill West,-73.95963426699993,40.766951507499925
Manhattan,142.0,142.0,7.56537920738e-05,0.0381758942321,Lincoln Square East,-73.981530168,40.77365866749991
Manhattan,152.0,152.0,0.000146637644064,0.0579094768782,Manhattanville,-73.95405467248986,40.817519321475686
Queens,138.0,138.0,0.000536797294367,0.107466933508,LaGuardia Airport,-73.87344023987976,40.77485131412746
Manhattan,143.0,143.0,0.00015109426901,0.0541798538849,Lincoln Square West,-73.9884571529746,40.775785240499935
Manhattan,144.0,144.0,4.74789670369e-05,0.0276201668505,Little Italy/NoLiTa,-73.9972436429999,40.72083179199991
Queens,145.0,145.0,0.000346641733797,0.114313844981,Long Island City/Hunters Point,-73.94962883744299,40.74658190170091
Queens,146.0,146.0,0.000104638923425,0.0471405215717,Long Island City/Queens Plaza,-73.93410482599992,40.754399660499914
Bronx,147.0,147.0,0.000106418172757,0.0587654949268,Longwood,-73.89865102299996,40.819064576499905
Manhattan,148.0,148.0,6.97489921327e-05,0.0391305015633,Lower East Side,-73.99066416299985,40.71910166149987
Manhattan,153.0,153.0,3.24684964817e-05,0.024737239022,Marble Hill,-73.91122570160039,40.87559769749257
Brooklyn,154.0,154.0,0.00178968692433,0.22733157076,Marine Park/Floyd Bennett Field,-73.90822143191028,40.59313302587803
Brooklyn,155.0,155.0,0.000868261018498,0.169808473032,Marine Park/Mill Basin,-73.91726201423214,40.61779794555025
Staten Island,156.0,156.0,0.0010521217443,0.144476890476,Mariners Harbor,-74.1693438887563,40.62876220423897
Bronx,159.0,159.0,0.00017124910387,0.064363233206,Melrose South,-73.91395997899984,40.818334523499914
Queens,157.0,157.0,0.000354370128323,0.131300217777,Maspeth,-73.90559976837736,40.72402549949995
Manhattan,158.0,158.0,0.000185568253002,0.0548099905515,Meatpacking/West Village West,-74.00977439058099,40.735295274615794
Queens,160.0,160.0,0.000571234977994,0.14151914297,Middle Village,-73.88220082799991,40.718562669999926
Manhattan,161.0,161.0,7.19130682992e-05,0.0358039100611,Midtown Center,-73.9776801605,40.75803031499992
Manhattan,162.0,162.0,4.78936962112e-05,0.0352698146219,Midtown East,-73.97247058149988,40.75683997849993
Manhattan,163.0,163.0,4.08567804196e-05,0.0341768669752,Midtown North,-73.97704129499989,40.76438657849989
Manhattan,164.0,164.0,5.56318237441e-05,0.0357716119908,Midtown South,-73.98568407899992,40.74908338549993
Manhattan,170.0,170.0,7.43150675972e-05,0.0457690091051,Murray Hill,-73.97764804049996,40.747725378499894
